School Name,State Name [Public School] Latest available year,School ID - NCES Assigned [Public School] Latest available year,State Abbr [Public School] Latest available year,County Name [Public School] 2017-18,Charter School [Public School] 2017-18,Magnet School [Public School] 2017-18,Shared Time School [Public School] 2017-18,Urban-centric Locale [Public School] 2017-18,School-wide Title I [Public School] 2017-18,Title I Eligible School [Public School] 2017-18,Title I School Status [Public School] 2017-18,National School Lunch Program [Public School] 2017-18,Total Students All Grades (Excludes AE) [Public School] 2017-18,Free Lunch Eligible [Public School] 2017-18,Direct Certification [Public School] 2017-18,Reduced-price Lunch Eligible Students [Public School] 2017-18,Free and Reduced Lunch Students [Public School] 2017-18,Male Students [Public School] 2017-18,Female Students [Public School] 2017-18,American Indian/Alaska Native Students [Public School] 2017-18,Asian or Asian/Pacific Islander Students [Public School] 2017-18,Hispanic Students [Public School] 2017-18,Black or African American Students [Public School] 2017-18,White Students [Public School] 2017-18,Nat. Hawaiian or Other Pacific Isl. Students [Public School] 2017-18,Two or More Races Students [Public School] 2017-18,Total Race/Ethnicity [Public School] 2017-18,Full-Time Equivalent (FTE) Teachers [Public School] 2017-18,Pupil/Teacher Ratio [Public School] 2017-18
ACADEMY H S,Texas,4.81E+11,TX ,Bell County,2-No,2-No,–,41-Rural: Fringe,1-Yes,1-Yes,5-Title I schoolwide school,Yes under Provision 2,453,117,–,29,146,257,196,2,5,89,20,320,1,16,453,32.51,13.93
ACADEMY HIGH SCHOOL,Colorado,80555001872,CO ,Adams County,2-No,2-No,2-No,21-Suburb: Large,†,2-No,6-Not a Title I school,Yes participating without using any Provision or the CEO,448,235,98,60,295,254,194,6,7,356,14,51,1,13,448,19,23.58
ACADEMY HILL SCHOOL,Maine,2.31E+11,ME ,Franklin County,2-No,2-No,2-No,42-Rural: Distant,1-Yes,1-Yes,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,191,91,–,24,115,99,92,–,–,3,–,186,–,2,191,15,12.73
ACADEMY I,New Jersey,3.41E+11,NJ ,Hudson County,2-No,†,2-No,11-City: Large,1-Yes,1-Yes,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,487,269,–,35,304,241,246,–,213,85,107,61,4,17,487,32,15.22
ACADEMY INT,Texas,4.81E+11,TX ,Bell County,2-No,2-No,–,41-Rural: Fringe,1-Yes,1-Yes,5-Title I schoolwide school,Yes under Provision 2,376,127,–,38,165,192,184,3,4,80,24,250,1,14,376,22.99,16.35
ACADEMY INTERNATIONAL ELEMENTARY SCHOOL,Colorado,80192001644,CO ,El Paso County,2-No,2-No,2-No,11-City: Large,†,2-No,6-Not a Title I school,Yes participating without using any Provision or the CEO,590,25,44,12,37,303,287,0,80,70,22,374,1,43,590,34.5,17.1
ACADEMY J H,Texas,4.81E+11,TX ,Bell County,2-No,2-No,–,41-Rural: Fringe,1-Yes,1-Yes,5-Title I schoolwide school,Yes under Provision 2,344,117,–,20,137,179,165,5,3,71,23,230,1,11,344,22.55,15.25
ACADEMY JJAEP,Texas,4.81E+11,TX ,Bell County,2-No,†,†,41-Rural: Fringe,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,0,†,†
ACADEMY LEARNING CENTER,New Jersey,3.48E+11,NJ ,Middlesex County,2-No,†,2-No,21-Suburb: Large,†,2-No,6-Not a Title I school,Yes participating without using any Provision or the CEO,128,20,–,2,22,96,32,0,30,24,13,60,0,1,128,20.4,6.27
ACADEMY OF ACCELERATED LEARNING,Wisconsin,5.51E+11,WI ,Milwaukee County,2-No,2-No,2-No,11-City: Large,1-Yes,1-Yes,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),625,430,–,0,430,310,315,6,165,155,55,222,–,22,625,18.3,34.15
ACADEMY OF ACCELERATED LEARNING,Texas,4.80E+11,TX ,Harris County,1-Yes,2-No,–,11-City: Large,1-Yes,1-Yes,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),715,702,–,0,702,341,374,11,11,419,267,3,0,4,715,41.95,17.04
ACADEMY OF ADVANCED LEARNING,COLORADO,80234006736,CO ,Arapahoe County,1-Yes,2-No,2-No,11-City: Large,†,2-No,6-Not a Title I school,Yes participating without using any Provision or the CEO,491,260,3,62,322,250,241,4,10,244,136,60,0,37,491,29.85,16.45
ACADEMY OF AEROSPACE AND ENGINEERING,Connecticut,90070001513,CT ,Hartford County,2-No,1-Yes,2-No,21-Suburb: Large,1-Yes,1-Yes,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,773,287,–,71,358,543,230,1,88,263,206,183,2,30,773,66.62,11.6
ACADEMY OF AEROSPACE AND ENGINEERING ELEMENTARY,Connecticut,90070001629,CT ,Hartford County,2-No,1-Yes,2-No,21-Suburb: Large,†,2-No,6-Not a Title I school,Yes participating without using any Provision or the CEO,434,170,–,23,193,231,203,1,65,128,107,116,1,16,434,27,16.07
ACADEMY OF AMERICAN STUDIES,New York,3.60E+11,NY ,Queens County,2-No,2-No,2-No,11-City: Large,†,2-No,6-Not a Title I school,Yes under Community Eligibility Option (CEO),1016,588,–,108,696,427,589,0,252,347,46,366,0,5,1016,49.19,20.65
ACADEMY OF APPLIED MATHEMATICS AND TECHNOLOGY,New York,3.60E+11,NY ,Bronx County,2-No,2-No,2-No,11-City: Large,1-Yes,1-Yes,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),301,284,–,6,290,170,131,0,1,206,87,4,1,2,301,19.99,15.06
ACADEMY OF ART  CAREERS AND TECHNOLOGY,Nevada,3.20E+11,NV ,Washoe County,2-No,1-Yes,2-No,12-City: Mid-size,†,2-No,6-Not a Title I school,Yes participating without using any Provision or the CEO,576,115,3,–,115,221,355,4,31,169,8,317,5,42,576,24.5,23.51
ACADEMY OF ARTS AND ACADEMICS,Oregon,4.11E+11,OR ,Lane County,1-Yes,†,–,22-Suburb: Mid-size,†,2-No,6-Not a Title I school,Yes participating without using any Provision or the CEO,341,137,–,21,158,140,201,8,3,33,3,266,0,28,341,18.97,17.98
ACADEMY OF ARTS AND KNOWLEDGE ELEMENTARY,Colorado,80002001998,CO ,Larimer County,1-Yes,2-No,2-No,12-City: Mid-size,†,2-No,6-Not a Title I school,Yes participating without using any Provision or the CEO,231,54,37,19,73,115,116,–,7,33,9,168,1,13,231,14.53,15.9
ACADEMY OF ARTS AND LETTERS,New York,3.60E+11,NY ,Kings County,2-No,2-No,2-No,11-City: Large,†,2-No,6-Not a Title I school,Yes under Community Eligibility Option (CEO),516,141,–,12,153,235,281,3,30,83,166,191,6,37,516,34.03,15.16
ACADEMY OF BUILDING INDUSTRIES,Arizona,40041402412,AZ ,Mohave County,1-Yes,–,2-No,33-Town: Remote,1-Yes,1-Yes,3-Title I schoolwide eligible-Title I targeted assistance program,No,115,–,–,–,–,76,39,1,0,20,5,87,0,2,115,–,†
ACADEMY OF CAREER EDUCATION CHARTER SCHOOL,Nevada,3.20E+11,NV ,Washoe County,1-Yes,2-No,2-No,12-City: Mid-size,†,2-No,6-Not a Title I school,Yes participating without using any Provision or the CEO,184,22,3,–,22,163,21,2,–,68,3,101,2,8,184,–,†
ACADEMY OF CAREERS AND EXPLORATION,California,61686012368,CA ,San Bernardino County,1-Yes,2-No,–,31-Town: Fringe,2-No,1-Yes,1-Title I targeted assistance eligible school-No program,No,321,163,–,19,182,177,144,3,6,158,38,100,2,14,321,14,22.93
ACADEMY OF CAREERS AND TECHNOLOGY,West Virginia,5.40E+11,WV ,Raleigh County,†,2-No,1-Yes,13-City: Small,†,†,†,No,–,–,12,–,12,†,†,–,–,–,–,–,–,–,0,21,†
ACADEMY OF CHARTER SCHOOLS,COLORADO,80002000727,CO ,Adams County,1-Yes,2-No,2-No,21-Suburb: Large,†,2-No,6-Not a Title I school,Yes participating without using any Provision or the CEO,1887,253,133,151,404,966,921,4,137,524,12,1129,1,80,1887,89.68,21.04
ACADEMY OF CHOICE,Texas,4.84E+11,TX ,Harris County,2-No,2-No,–,21-Suburb: Large,1-Yes,1-Yes,4-Title I schoolwide eligible school-No program,Yes participating without using any Provision or the CEO,187,125,–,0,125,88,99,0,3,139,19,21,0,5,187,26.18,7.14
ACADEMY OF CREATIVE ED,Texas,4.83E+11,TX ,Bexar County,2-No,2-No,–,11-City: Large,†,2-No,6-Not a Title I school,Yes participating without using any Provision or the CEO,124,52,–,4,56,71,53,0,2,75,8,38,0,1,124,10.06,12.33
ACADEMY OF DALLAS,Texas,4.80E+11,TX ,Dallas County,1-Yes,2-No,–,11-City: Large,1-Yes,1-Yes,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,432,414,–,7,421,226,206,0,0,106,323,2,0,1,432,24.67,17.51
ACADEMY OF DOVER CHARTER SCHOOL,Delaware,1.00E+11,DE ,Kent County,1-Yes,2-No,2-No,13-City: Small,1-Yes,1-Yes,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),270,–,188,–,–,119,151,–,–,36,197,27,2,8,270,17,15.88
ACADEMY OF EDUCATIONAL EXCELLENCE,Ohio,3.90E+11,OH ,Lucas County,1-Yes,–,2-No,11-City: Large,2-No,1-Yes,2-Title I targeted assistance school,Yes under Community Eligibility Option (CEO),147,–,70,–,–,74,73,0,0,2,138,4,0,3,147,6,24.5
ACADEMY OF ENGINEERING AND TECHNOLOGY,VIRGINIA,5.10E+11,VA ,Loudoun County,2-No,2-No,1-Yes,41-Rural: Fringe,†,†,†,No,†,†,†,†,†,†,†,†,†,†,†,†,†,†,0,–,†
ACADEMY OF ENVIRONMENTAL SCIENCE,Florida,1.20E+11,FL ,Citrus County,1-Yes,1-Yes,2-No,41-Rural: Fringe,2-No,1-Yes,1-Title I targeted assistance eligible school-No program,Yes participating without using any Provision or the CEO,67,31,30,1,32,33,34,0,0,3,0,61,0,3,67,4,16.75
ACADEMY OF EXCELLENCE,Arizona,40012801715,AZ ,Maricopa County,1-Yes,–,2-No,11-City: Large,1-Yes,1-Yes,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),83,81,–,0,81,40,43,1,0,32,45,3,0,2,83,–,†
ACADEMY OF FINANCE AND ENTERPRISE,New York,3.60E+11,NY ,Queens County,2-No,2-No,2-No,11-City: Large,1-Yes,1-Yes,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),601,435,–,58,493,297,304,7,151,309,26,88,3,17,601,31.01,19.38
ACADEMY OF HEALTH SCIENCES AT PGCC,Maryland,2.40E+11,MD ,Prince George's County,2-No,1-Yes,2-No,21-Suburb: Large,†,2-No,6-Not a Title I school,Yes participating without using any Provision or the CEO,464,176,–,55,231,132,332,1,52,60,326,18,2,5,464,20,23.2
ACADEMY OF HOPE CHARTER,South Carolina,4.50E+11,SC ,Horry County,1-Yes,2-No,2-No,41-Rural: Fringe,1-Yes,1-Yes,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,146,106,–,5,111,69,77,0,0,4,128,12,0,2,146,13,11.23
ACADEMY OF HOSPITALITY AND TOURISM,New York,3.60E+11,NY ,Kings County,2-No,2-No,2-No,11-City: Large,1-Yes,1-Yes,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),209,179,–,4,183,110,99,3,5,28,161,12,0,0,209,13,16.08
ACADEMY OF INNOVATIVE TECHNOLOGY,New York,3.60E+11,NY ,Kings County,2-No,2-No,2-No,11-City: Large,1-Yes,1-Yes,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),401,323,–,23,346,333,68,5,19,192,166,9,2,8,401,33.83,11.85
ACADEMY OF INTERNATIONAL STUDIES (AT WOODBURN),Oregon,4.11E+11,OR ,Marion County,2-No,†,–,31-Town: Fringe,1-Yes,1-Yes,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),272,192,–,18,210,124,148,0,1,263,0,6,0,2,272,15,18.13
ACADEMY OF LAW & PUBLIC SAFETY,New Jersey,3.42E+11,NJ ,Monmouth County,2-No,†,2-No,21-Suburb: Large,2-No,1-Yes,2-Title I targeted assistance school,No,80,10,–,5,15,50,30,–,–,16,5,58,–,1,80,6.5,12.31
ACADEMY OF MATH AND SCIENCE,Arizona,40036802037,AZ ,Pima County,1-Yes,–,2-No,11-City: Large,†,2-No,6-Not a Title I school,Yes participating without using any Provision or the CEO,455,227,–,63,290,204,251,20,12,298,14,101,1,9,455,–,†
ACADEMY OF MATH AND SCIENCE CAMELBACK,ARIZONA,40094003499,AZ ,Maricopa County,1-Yes,–,2-No,11-City: Large,1-Yes,1-Yes,5-Title I schoolwide school,Yes under Provision 2,807,645,–,40,685,405,402,1,1,729,46,26,0,4,807,–,†
ACADEMY OF MATHEMATICS AND SCIENCE SOUTH,Arizona,40089103399,AZ ,Maricopa County,1-Yes,–,2-No,11-City: Large,1-Yes,1-Yes,5-Title I schoolwide school,Yes under Provision 2,46,40,–,1,41,24,22,0,0,40,1,2,0,3,46,–,†
ACADEMY OF MEDICAL ARTS AT CARSON HIGH,California,62271013104,CA ,Los Angeles County,2-No,2-No,–,13-City: Small,1-Yes,1-Yes,5-Title I schoolwide school,No,506,271,–,55,326,185,321,–,215,210,39,11,22,9,506,24.5,20.65
ACADEMY OF MEDICAL TECHNOLOGY - A COLLEGE BOARD SCHOOL,New York,3.60E+11,NY ,Queens County,2-No,2-No,2-No,11-City: Large,1-Yes,1-Yes,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),645,494,–,18,512,326,319,15,37,283,277,26,4,3,645,48.02,13.43
ACADEMY OF PUBLIC RELATIONS,New York,3.60E+11,NY ,Bronx County,2-No,2-No,2-No,11-City: Large,1-Yes,1-Yes,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),248,225,–,1,226,126,122,1,0,190,51,4,1,1,248,22,11.27
ACADEMY OF RICHMOND COUNTY HIGH SCHOOL,Georgia,1.30E+11,GA ,Richmond County,2-No,2-No,2-No,12-City: Mid-size,1-Yes,1-Yes,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),1318,1270,564,0,1270,675,643,3,10,59,998,185,17,46,1318,72.5,18.18
ACADEMY OF SCIENCE AND INNOVATION,Connecticut,90070001592,CT ,Hartford County,2-No,1-Yes,2-No,21-Suburb: Large,1-Yes,1-Yes,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,776,398,–,57,455,310,466,3,38,358,218,130,2,27,776,74,10.49
ACADEMY OF SCIENCE MATH AND TECHNOLOGY EARLY COLLEGE HIGH SC,Michigan,2.62E+11,MI ,Mason County,2-No,2-No,2-No,41-Rural: Fringe,2-No,1-Yes,1-Title I targeted assistance eligible school-No program,Yes participating without using any Provision or the CEO,37,13,–,3,16,16,21,0,0,2,0,34,0,1,37,0,†
ACADEMY OF TALENTED SCHOLARS (THE),New York,3.60E+11,NY ,Kings County,2-No,2-No,2-No,11-City: Large,†,2-No,6-Not a Title I school,Yes under Community Eligibility Option (CEO),378,121,–,23,144,208,170,0,75,49,19,230,0,5,378,49,7.71
ACADEMY OF TECHNOLOGY & LEADERSHIP AT SATICOY,California,64098006765,CA ,Ventura County,2-No,1-Yes,–,12-City: Mid-size,1-Yes,1-Yes,5-Title I schoolwide school,No,384,152,–,77,229,205,179,1,10,243,9,104,–,17,384,16.15,23.78
ACADEMY OF TECHNOLOGY DESIGN,New Jersey,3.41E+11,NJ ,Hudson County,2-No,†,2-No,11-City: Large,1-Yes,1-Yes,5-Title I schoolwide school,No,172,57,–,28,85,74,98,1,20,91,34,25,1,–,172,2.8,61.43
ACADEMY OF THE AMERICAS,MICHIGAN,2.60E+11,MI ,Wayne County,2-No,2-No,2-No,11-City: Large,1-Yes,1-Yes,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),872,715,–,15,730,449,423,1,0,827,23,15,0,6,872,40.5,21.53
ACADEMY OF THE AMERICAS HIGH SCHOOL,MICHIGAN,2.60E+11,MI ,Wayne County,2-No,2-No,2-No,11-City: Large,†,2-No,6-Not a Title I school,Yes participating without using any Provision or the CEO,96,56,–,1,57,41,55,0,0,91,3,2,0,0,96,6.5,14.77
ACADEMY OF THE CANYONS,California,64251008517,CA ,Los Angeles County,2-No,2-No,–,21-Suburb: Large,†,2-No,6-Not a Title I school,No,406,56,–,4,60,163,243,1,151,91,6,134,–,23,406,13.15,30.87
ACADEMY OF THE CITY CHARTER SCHOOL,New York,3.60E+11,NY ,Queens County,1-Yes,2-No,2-No,11-City: Large,1-Yes,1-Yes,5-Title I schoolwide school,No,407,255,–,45,300,198,209,5,76,221,36,58,2,9,407,25,16.28
ACADEMY OF THE PACIFIC RIM CHARTER PUBLIC SCHOOL,Massachusetts,2.50E+11,MA ,Suffolk County,1-Yes,2-No,2-No,11-City: Large,1-Yes,1-Yes,5-Title I schoolwide school,–,524,–,207,–,–,258,266,0,7,146,313,46,1,11,524,48.1,10.89
ACADEMY OF THE REDWOODS,California,61419010801,CA ,Humboldt County,2-No,2-No,–,41-Rural: Fringe,†,2-No,6-Not a Title I school,No,170,66,–,11,77,72,98,4,10,20,3,117,–,16,170,5.25,32.38
ACADEMY OF TRADES AND TECH,New Mexico,3.50E+11,NM ,Bernalillo County,1-Yes,†,2-No,11-City: Large,1-Yes,1-Yes,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),75,75,–,0,75,47,28,0,0,51,0,24,0,0,75,11.3,6.64
ACADEMY OF TUCSON ELEMENTARY SCHOOL,Arizona,40020203141,AZ ,Pima County,1-Yes,–,2-No,11-City: Large,†,2-No,6-Not a Title I school,No,280,–,–,–,–,137,143,1,2,80,8,170,1,18,280,–,†
ACADEMY OF TUCSON HIGH SCHOOL,Arizona,40020201959,AZ ,Pima County,1-Yes,–,2-No,11-City: Large,†,2-No,6-Not a Title I school,No,147,–,–,–,–,62,85,2,2,31,7,93,3,9,147,–,†
ACADEMY OF TUCSON MIDDLE SCHOOL,Arizona,40020202312,AZ ,Pima County,1-Yes,–,2-No,11-City: Large,†,2-No,6-Not a Title I school,No,271,–,–,–,–,131,140,3,7,68,13,151,3,26,271,–,†
ACADEMY OF URBAN LEARNING,Colorado,80336001894,CO ,Denver County,1-Yes,2-No,2-No,11-City: Large,1-Yes,1-Yes,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,108,77,54,10,87,59,49,2,–,96,3,6,–,1,108,5.09,21.22
ACADEMY OF URBAN PLANNING AND ENGINEERING (THE),New York,3.60E+11,NY ,Kings County,2-No,2-No,2-No,11-City: Large,1-Yes,1-Yes,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),202,193,–,5,198,113,89,0,2,158,36,4,0,2,202,19,10.63
ACADEMY OF WARREN,Michigan,2.60E+11,MI ,Macomb County,1-Yes,2-No,2-No,12-City: Mid-size,1-Yes,1-Yes,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),578,547,–,10,557,293,285,1,0,4,562,1,0,10,578,31,18.65
ACADEMY OF WORLD LANGUAGES SCHOOL,Ohio,3.90E+11,OH ,Hamilton County,2-No,–,2-No,11-City: Large,1-Yes,1-Yes,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),529,–,515,–,–,263,266,2,50,59,356,53,0,9,529,25.6,20.66
ACADEMY PARK HS,Pennsylvania,4.22E+11,PA ,Delaware County,2-No,2-No,2-No,21-Suburb: Large,1-Yes,1-Yes,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),1275,1152,–,0,1152,685,590,0,21,37,959,227,0,31,1275,82.95,15.37
ACADEMY PARK SCHOOL,Utah,4.90E+11,UT ,Salt Lake County,2-No,2-No,2-No,21-Suburb: Large,1-Yes,1-Yes,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,519,309,–,75,384,261,258,3,9,199,24,245,38,1,519,–,†
ACADEMY PERFORMING PRESCHOOL,California,64104013396,CA ,San Bernardino County,2-No,–,–,12-City: Mid-size,†,†,†,No,†,†,†,†,†,†,†,†,†,†,†,†,†,†,0,–,†
ACADEMY PROGRAMS,West Virginia,5.40E+11,WV ,Marion County,†,2-No,2-No,32-Town: Distant,†,†,†,No,–,–,–,–,–,†,†,–,–,–,–,–,–,–,0,–,†
ACADEMY SCHOOL,New York,3.61E+11,NY ,Erie County,2-No,2-No,2-No,11-City: Large,1-Yes,1-Yes,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,117,98,–,0,98,70,47,1,0,14,88,13,0,1,117,26,4.5
ACADEMY SCHOOL (BRATTLEBORO),Vermont,5.00E+11,VT ,Windham County,†,2-No,2-No,32-Town: Distant,1-Yes,1-Yes,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),358,170,–,31,201,196,162,–,16,19,11,291,–,21,358,34.87,10.27
ACADEMY STREET ELEMENTARY SCHOOL,New York,3.60E+11,NY ,Suffolk County,2-No,2-No,2-No,21-Suburb: Large,†,2-No,6-Not a Title I school,Yes participating without using any Provision or the CEO,327,20,–,0,20,181,146,3,3,27,3,283,0,8,327,29,11.28
ACADEMY STREET ELEMENTARY SCHOOL,New Jersey,3.40E+11,NJ ,Morris County,2-No,†,2-No,21-Suburb: Large,1-Yes,1-Yes,5-Title I schoolwide school,No,562,389,–,58,447,308,254,–,4,516,18,23,–,1,562,36.97,15.2
ACADEMY WEST ALTERNATIVE EDUCATION,Michigan,2.64E+11,MI ,Genesee County,2-No,2-No,2-No,21-Suburb: Large,1-Yes,1-Yes,4-Title I schoolwide eligible school-No program,Yes under Community Eligibility Option (CEO),511,437,–,10,447,253,258,1,0,29,389,66,1,25,511,15,34.07
ACADEMY WITH COMMUNITY PARTNERS,Arizona,40027601841,AZ ,Maricopa County,1-Yes,–,2-No,11-City: Large,1-Yes,1-Yes,5-Title I schoolwide school,No,107,–,–,–,–,64,43,2,0,70,4,29,0,2,107,–,†
ACADIA ACADEMY SCHOOL,MAINE,2.31E+11,ME ,Androscoggin County,1-Yes,2-No,2-No,13-City: Small,2-No,1-Yes,1-Title I targeted assistance eligible school-No program,Yes under Community Eligibility Option (CEO),172,54,–,0,54,85,87,–,2,1,6,159,–,4,172,13,13.23
ACADIA MIDDLE SCHOOL,New York,3.63E+11,NY ,Saratoga County,2-No,2-No,2-No,21-Suburb: Large,†,2-No,6-Not a Title I school,Yes under Provision 2,787,95,–,13,108,395,392,0,126,43,17,574,1,26,787,51.01,15.43
ACADIAN ELEMENTARY,Louisiana,2.20E+11,LA ,Rapides Parish,2-No,2-No,–,13-City: Small,1-Yes,1-Yes,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,299,291,–,5,296,138,161,–,–,–,294,4,–,1,299,19,15.74
ACADIAN ELEMENTARY SCHOOL,Louisiana,2.20E+11,LA ,Terrebonne Parish,2-No,2-No,–,13-City: Small,1-Yes,1-Yes,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),758,430,–,–,430,410,348,40,16,97,300,225,–,80,758,36.1,21
ACADIAN MIDDLE SCHOOL,Louisiana,2.20E+11,LA ,Lafayette Parish,2-No,2-No,–,12-City: Mid-size,1-Yes,1-Yes,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),407,257,–,–,257,203,204,–,–,17,338,46,–,6,407,26,15.65
ACADIANA HIGH SCHOOL,Louisiana,2.20E+11,LA ,Lafayette Parish,2-No,2-No,–,21-Suburb: Large,1-Yes,1-Yes,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),1678,632,–,–,632,847,831,6,21,169,656,811,1,14,1678,72,23.31
ACADIANA RENAISSANCE CHARTER ACADEMY,LOUISIANA,2.20E+11,LA ,Lafayette Parish,1-Yes,2-No,–,12-City: Mid-size,1-Yes,1-Yes,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,887,252,–,50,302,416,471,5,13,38,85,737,–,9,887,50.36,17.61
ACALANES CENTER FOR INDEPENDENT STUDY,California,60165010751,CA ,Contra Costa County,2-No,2-No,–,13-City: Small,†,2-No,6-Not a Title I school,No,24,3,–,0,3,9,15,0,0,5,0,17,0,2,24,3.2,7.5
ACALANES HIGH,California,60165000032,CA ,Contra Costa County,2-No,2-No,–,21-Suburb: Large,†,2-No,6-Not a Title I school,No,1377,66,–,4,70,709,668,–,168,103,13,980,2,111,1377,68,20.25
ACCAWMACKE ELEM,Virginia,5.10E+11,VA ,Accomack County,2-No,2-No,2-No,43-Rural: Remote,1-Yes,1-Yes,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,550,364,–,34,398,274,276,1,16,156,208,168,0,1,550,28,19.64
ACCE,MICHIGAN,2.64E+11,MI ,Washtenaw County,2-No,1-Yes,2-No,21-Suburb: Large,1-Yes,1-Yes,4-Title I schoolwide eligible school-No program,Yes under Community Eligibility Option (CEO),111,101,–,–,101,62,49,0,0,5,86,14,0,6,111,10,11.1
ACCELERATED,California,62271003245,CA ,Los Angeles County,1-Yes,2-No,–,11-City: Large,1-Yes,1-Yes,5-Title I schoolwide school,No,766,721,–,33,754,383,383,1,2,745,18,–,–,–,766,30,25.53
ACCELERATED ACHIEVEMENT ACADEMY,California,61734012565,CA ,San Benito County,2-No,2-No,–,32-Town: Distant,1-Yes,1-Yes,5-Title I schoolwide school,No,137,57,–,13,70,64,73,–,8,87,1,37,1,3,137,6.33,21.64
ACCELERATED ACHIEVEMENT ACADEMY,California,64030010552,CA ,Mendocino County,1-Yes,2-No,–,33-Town: Remote,1-Yes,1-Yes,5-Title I schoolwide school,No,155,114,–,9,123,77,78,7,1,72,–,61,–,14,155,7.18,21.59
ACCELERATED ADVANCED LEARNING PROGRAM,Wisconsin,5.51E+11,WI ,Winnebago County,1-Yes,2-No,2-No,13-City: Small,†,2-No,6-Not a Title I school,Yes participating without using any Provision or the CEO,60,4,–,3,7,32,28,–,7,1,2,47,–,3,60,3.9,15.38
ACCELERATED CHARTER ELEMENTARY,California,62271010830,CA ,Los Angeles County,1-Yes,2-No,–,11-City: Large,1-Yes,1-Yes,5-Title I schoolwide school,No,492,461,–,23,484,262,230,2,–,468,3,1,–,18,492,18,27.33
ACCELERATED CHARTER HIGH,CALIFORNIA,63993013976,CA ,Tulare County,1-Yes,2-No,–,41-Rural: Fringe,2-No,1-Yes,2-Title I targeted assistance school,Yes under Community Eligibility Option (CEO),149,126,–,13,139,94,55,0,1,122,6,16,0,4,149,7.35,20.27
ACCELERATED INT CHARTER SCHOOL,Texas,4.80E+11,TX ,Harris County,1-Yes,†,†,11-City: Large,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,0,†,†
ACCELERATED INTERDISCIPLINARY ACAD,Texas,4.80E+11,TX ,Harris County,1-Yes,2-No,–,11-City: Large,1-Yes,1-Yes,5-Title I schoolwide school,No,259,236,–,12,248,110,149,1,4,113,138,3,0,0,259,18.81,13.77
ACCELERATED LEARNING ACADEMY,Michigan,2.61E+11,MI ,Genesee County,2-No,2-No,2-No,13-City: Small,1-Yes,1-Yes,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),155,149,–,1,150,113,42,0,0,2,137,13,0,3,155,9,17.22
ACCELERATED LEARNING CENTER,Arizona,40012101581,AZ ,Maricopa County,1-Yes,–,2-No,11-City: Large,†,2-No,6-Not a Title I school,No,166,–,–,–,–,101,65,2,1,25,5,130,0,3,166,–,†
ACCELERATED LEARNING CENTER,Texas,4.80E+11,TX ,Nueces County,1-Yes,2-No,–,11-City: Large,†,†,†,Yes under Community Eligibility Option (CEO),0,–,–,–,–,0,0,0,0,0,0,0,0,0,0,5,0
ACCELERATED LEARNING LABORATORY,Arizona,40012901790,AZ ,Pima County,1-Yes,–,2-No,41-Rural: Fringe,†,2-No,6-Not a Title I school,No,165,–,–,–,–,92,73,0,3,98,2,54,8,0,165,–,†
ACCELERATION ACADEMIES LLC,FLORIDA,1.20E+11,FL ,Miami-Dade County,2-No,†,†,21-Suburb: Large,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,0,†,†
